PersonID,EventID,SpaceID,StartDateTime,EndDateTime
120,-1,0,2018-02-12 00:00:00,2018-02-12 13:42:44
120,239,0,2018-02-12 13:42:44,2018-02-12 13:42:54
120,239,1,2018-02-12 13:42:54,2018-02-12 13:43:50
120,239,2,2018-02-12 13:43:50,2018-02-12 13:44:05
120,239,14,2018-02-12 13:44:05,2018-02-12 13:44:30
120,239,153,2018-02-12 13:44:30,2018-02-12 13:45:17
120,239,154,2018-02-12 13:45:17,2018-02-12 16:01:15
120,133,154,2018-02-12 16:01:15,2018-02-12 16:01:59
120,133,153,2018-02-12 16:01:59,2018-02-12 16:57:42
120,38,153,2018-02-12 16:57:42,2018-02-12 16:58:05
120,38,14,2018-02-12 16:58:05,2018-02-12 16:58:20
120,38,2,2018-02-12 16:58:20,2018-02-12 16:59:16
120,38,1,2018-02-12 16:59:16,2018-02-12 16:59:27
120,38,0,2018-02-12 16:59:27,2018-02-12 16:59:47
120,38,10,2018-02-12 16:59:47,2018-02-12 17:00:48
120,38,11,2018-02-12 17:00:48,2018-02-12 17:01:00
120,38,191,2018-02-12 17:01:00,2018-02-12 17:42:26
120,317,191,2018-02-12 17:42:26,2018-02-12 18:11:56
120,-1,191,2018-02-12 18:11:56,2018-02-12 18:12:12
120,-1,11,2018-02-12 18:12:12,2018-02-12 18:12:50
120,-1,10,2018-02-12 18:12:50,2018-02-12 18:13:11
120,-1,0,2018-02-12 18:13:11,2018-02-12 23:59:59
78,-1,0,2018-02-12 00:00:00,2018-02-12 13:15:05
78,234,0,2018-02-12 13:15:05,2018-02-12 13:15:27
78,234,10,2018-02-12 13:15:27,2018-02-12 13:15:42
78,234,151,2018-02-12 13:15:42,2018-02-12 15:19:48
78,324,151,2018-02-12 15:19:48,2018-02-12 15:59:57
78,428,151,2018-02-12 15:59:57,2018-02-12 16:00:13
78,428,10,2018-02-12 16:00:13,2018-02-12 16:00:33
78,428,0,2018-02-12 16:00:33,2018-02-12 16:00:43
78,428,1,2018-02-12 16:00:43,2018-02-12 16:01:34
78,428,2,2018-02-12 16:01:34,2018-02-12 16:01:47
78,428,14,2018-02-12 16:01:47,2018-02-12 16:02:14
78,428,153,2018-02-12 16:02:14,2018-02-12 16:03:01
78,428,154,2018-02-12 16:03:01,2018-02-12 16:36:46
78,134,154,2018-02-12 16:36:46,2018-02-12 16:37:22
78,134,153,2018-02-12 16:37:22,2018-02-12 16:37:44
78,134,14,2018-02-12 16:37:44,2018-02-12 16:37:57
78,134,2,2018-02-12 16:37:57,2018-02-12 16:38:51
78,134,1,2018-02-12 16:38:51,2018-02-12 16:39:02
78,134,0,2018-02-12 16:39:02,2018-02-12 16:39:22
78,134,10,2018-02-12 16:39:22,2018-02-12 16:39:40
78,134,105,2018-02-12 16:39:40,2018-02-12 17:26:37
78,293,105,2018-02-12 17:26:37,2018-02-12 17:26:54
78,293,10,2018-02-12 17:26:54,2018-02-12 17:27:26
78,293,11,2018-02-12 17:27:26,2018-02-12 17:27:50
78,293,12,2018-02-12 17:27:50,2018-02-12 17:28:23
78,293,102,2018-02-12 17:28:23,2018-02-12 18:09:27
78,-1,102,2018-02-12 18:09:27,2018-02-12 18:10:04
78,-1,12,2018-02-12 18:10:04,2018-02-12 18:10:37
78,-1,11,2018-02-12 18:10:37,2018-02-12 18:11:43
78,-1,10,2018-02-12 18:11:43,2018-02-12 18:11:59
78,-1,0,2018-02-12 18:11:59,2018-02-12 23:59:59
139,-1,0,2018-02-12 00:00:00,2018-02-12 12:18:48
139,133,0,2018-02-12 12:18:48,2018-02-12 12:19:01
139,133,1,2018-02-12 12:19:01,2018-02-12 12:19:54
139,133,2,2018-02-12 12:19:54,2018-02-12 12:20:03
139,133,14,2018-02-12 12:20:03,2018-02-12 12:20:28
139,133,153,2018-02-12 12:20:28,2018-02-12 15:25:12
139,337,153,2018-02-12 15:25:12,2018-02-12 15:25:38
139,337,14,2018-02-12 15:25:38,2018-02-12 15:26:28
139,337,15,2018-02-12 15:26:28,2018-02-12 15:26:38
139,337,124,2018-02-12 15:26:38,2018-02-12 15:58:33
139,91,124,2018-02-12 15:58:33,2018-02-12 15:58:43
139,91,15,2018-02-12 15:58:43,2018-02-12 15:59:50
139,91,14,2018-02-12 15:59:50,2018-02-12 16:00:06
139,91,2,2018-02-12 16:00:06,2018-02-12 16:00:42
139,91,1,2018-02-12 16:00:42,2018-02-12 16:00:52
139,91,0,2018-02-12 16:00:52,2018-02-12 16:01:12
139,91,10,2018-02-12 16:01:12,2018-02-12 16:01:22
139,91,151,2018-02-12 16:01:22,2018-02-12 16:02:10
139,91,152,2018-02-12 16:02:10,2018-02-12 15:07:29
139,91,152,2018-02-12 15:07:29,2018-02-12 15:55:28
139,394,152,2018-02-12 15:55:28,2018-02-12 15:55:59
139,394,151,2018-02-12 15:55:59,2018-02-12 15:56:11
139,394,10,2018-02-12 15:56:11,2018-02-12 15:56:37
139,394,0,2018-02-12 15:56:37,2018-02-12 15:56:48
139,394,1,2018-02-12 15:56:48,2018-02-12 15:57:41
139,394,2,2018-02-12 15:57:41,2018-02-12 15:58:00
139,394,14,2018-02-12 15:58:00,2018-02-12 15:58:43
139,394,15,2018-02-12 15:58:43,2018-02-12 15:59:02
139,394,192,2018-02-12 15:59:02,2018-02-12 15:57:23
139,487,192,2018-02-12 15:57:23,2018-02-12 15:57:38
139,487,15,2018-02-12 15:57:38,2018-02-12 15:58:10
139,487,16,2018-02-12 15:58:10,2018-02-12 15:58:56
139,487,17,2018-02-12 15:58:56,2018-02-12 15:59:47
139,487,154,2018-02-12 15:59:47,2018-02-12 16:38:28
139,419,154,2018-02-12 16:38:28,2018-02-12 16:39:05
139,419,153,2018-02-12 16:39:05,2018-02-12 16:39:32
139,419,14,2018-02-12 16:39:32,2018-02-12 16:39:47
139,419,2,2018-02-12 16:39:47,2018-02-12 16:40:27
139,419,1,2018-02-12 16:40:27,2018-02-12 16:40:37
139,419,0,2018-02-12 16:40:37,2018-02-12 16:40:54
139,419,10,2018-02-12 16:40:54,2018-02-12 16:41:34
139,419,11,2018-02-12 16:41:34,2018-02-12 16:41:47
139,419,191,2018-02-12 16:41:47,2018-02-12 17:28:19
139,168,191,2018-02-12 17:28:19,2018-02-12 17:28:37
139,168,11,2018-02-12 17:28:37,2018-02-12 17:29:04
139,168,10,2018-02-12 17:29:04,2018-02-12 17:29:19
139,168,0,2018-02-12 17:29:19,2018-02-12 17:29:29
139,168,1,2018-02-12 17:29:29,2018-02-12 17:30:26
139,168,2,2018-02-12 17:30:26,2018-02-12 17:30:37
139,168,14,2018-02-12 17:30:37,2018-02-12 17:31:18
