Door Observation data from metasensor 2
Sensor 16 activated at datetime 2020-01-06 09:04:07
Sensor 16 activated at datetime 2020-01-06 09:51:31
Sensor 16 activated at datetime 2020-01-06 10:43:13
Sensor 16 activated at datetime 2020-01-06 12:38:41
Sensor 16 activated at datetime 2020-01-07 07:32:32
Sensor 16 activated at datetime 2020-01-07 09:08:13
Sensor 16 activated at datetime 2020-01-09 06:36:41
Sensor 16 activated at datetime 2020-01-09 09:15:03
Sensor 16 activated at datetime 2020-01-09 12:27:51
Sensor 16 activated at datetime 2020-01-10 08:55:40
Sensor 16 activated at datetime 2020-01-10 09:01:34
Sensor 16 activated at datetime 2020-01-10 09:05:58
Sensor 16 activated at datetime 2020-01-10 09:45:21
Sensor 16 activated at datetime 2020-01-10 09:51:39
Sensor 16 activated at datetime 2020-01-10 09:51:51
Sensor 17 activated at datetime 2020-01-10 08:54:48
Sensor 17 activated at datetime 2020-01-10 08:55:56
Sensor 18 activated at datetime 2020-01-06 09:48:44
Sensor 18 activated at datetime 2020-01-06 10:44:24
Sensor 18 activated at datetime 2020-01-06 10:44:38
Sensor 18 activated at datetime 2020-01-06 10:46:27
Sensor 18 activated at datetime 2020-01-07 08:40:01
Sensor 18 activated at datetime 2020-01-07 08:46:14
Sensor 18 activated at datetime 2020-01-07 08:47:30
Sensor 18 activated at datetime 2020-01-07 08:48:03
Sensor 18 activated at datetime 2020-01-07 08:48:23
Sensor 18 activated at datetime 2020-01-07 08:49:54
Sensor 18 activated at datetime 2020-01-07 08:50:36
Sensor 18 activated at datetime 2020-01-07 09:02:23
Sensor 18 activated at datetime 2020-01-07 09:41:22
Sensor 18 activated at datetime 2020-01-07 09:42:26
Sensor 18 activated at datetime 2020-01-07 09:50:38
Sensor 18 activated at datetime 2020-01-09 08:41:43
Sensor 18 activated at datetime 2020-01-09 08:46:24
Sensor 18 activated at datetime 2020-01-09 08:49:34
Sensor 18 activated at datetime 2020-01-09 08:51:32
Sensor 18 activated at datetime 2020-01-10 09:40:21
Sensor 18 activated at datetime 2020-01-10 09:40:51
Sensor 18 activated at datetime 2020-01-10 09:41:07
Sensor 18 activated at datetime 2020-01-10 09:42:51
Sensor 18 activated at datetime 2020-01-10 09:43:36
Sensor 18 activated at datetime 2020-01-10 09:44:13
Sensor 18 activated at datetime 2020-01-10 09:44:28
Sensor 18 activated at datetime 2020-01-10 09:44:39
Sensor 18 activated at datetime 2020-01-10 09:45:09
Sensor 18 activated at datetime 2020-01-10 09:45:28
