wifi_ap,cnx_time,client_id
1,2017-01-07 22:07:11,57
7,2017-01-01 11:34:26,94
9,2017-01-05 20:56:51,89
1,2017-01-06 22:30:10,36
2,2017-01-07 23:06:35,99
10,2017-01-02 08:11:06,72
3,2017-01-01 19:52:39,54
5,2017-01-05 07:14:24,68
7,2017-01-04 06:20:53,63
9,2017-01-04 10:54:40,5
4,2017-01-01 20:11:08,58
1,2017-01-04 14:44:38,43
5,2017-01-02 05:43:04,94
5,2017-01-05 17:05:20,68
6,2017-01-02 10:30:02,40
4,2017-01-02 07:35:48,4
8,2017-01-03 10:18:48,81
4,2017-01-07 14:48:11,7
7,2017-01-06 02:29:57,60
2,2017-01-02 17:43:57,36
1,2017-01-06 01:26:53,65
5,2017-01-05 20:48:03,37
5,2017-01-03 05:35:21,31
2,2017-01-05 21:12:55,75
9,2017-01-05 06:58:38,4
7,2017-01-04 16:37:49,77
8,2017-01-03 12:27:26,54
1,2017-01-04 22:17:11,38
1,2017-01-05 11:44:10,56
7,2017-01-04 16:58:36,95
7,2017-01-07 01:04:54,27
1,2017-01-01 07:30:31,81
9,2017-01-01 10:39:13,72
7,2017-01-03 21:06:57,54
8,2017-01-04 21:16:14,58
8,2017-01-04 23:02:21,55
3,2017-01-03 09:39:47,42
3,2017-01-06 15:14:38,79
1,2017-01-04 02:54:55,86
3,2017-01-01 04:50:26,14
4,2017-01-05 16:29:56,81
2,2017-01-06 15:39:03,77
8,2017-01-07 01:54:06,68
8,2017-01-06 04:48:14,51
4,2017-01-07 00:17:40,43
5,2017-01-03 16:59:55,53
9,2017-01-03 11:14:00,3
8,2017-01-01 07:44:46,88
10,2017-01-01 00:31:50,49
5,2017-01-05 10:47:42,52
9,2017-01-02 15:29:37,7
5,2017-01-03 15:30:47,30
8,2017-01-06 16:47:54,69
7,2017-01-05 06:49:19,1
7,2017-01-04 10:27:18,20
8,2017-01-02 19:23:54,38
4,2017-01-05 19:38:58,4
7,2017-01-02 02:49:52,18
7,2017-01-06 11:13:15,45
8,2017-01-06 09:51:08,48
9,2017-01-07 03:07:48,53
8,2017-01-06 18:26:54,34
8,2017-01-03 06:33:42,11
10,2017-01-07 04:35:04,21
2,2017-01-07 09:31:42,14
5,2017-01-03 16:53:41,67
8,2017-01-05 08:08:47,55
3,2017-01-01 17:30:19,40
4,2017-01-02 20:57:06,85
2,2017-01-04 02:55:36,38
2,2017-01-06 12:15:36,6
5,2017-01-01 07:17:27,70
10,2017-01-05 16:46:21,17
3,2017-01-01 00:38:40,78
3,2017-01-07 22:01:13,45
5,2017-01-03 12:10:20,83
7,2017-01-04 08:04:33,3
5,2017-01-05 02:48:33,17
8,2017-01-07 22:15:23,14
8,2017-01-02 19:29:11,57
1,2017-01-04 01:05:48,31
2,2017-01-05 17:50:56,86
9,2017-01-07 12:49:46,50
9,2017-01-06 18:34:21,63
5,2017-01-02 06:34:06,51
6,2017-01-05 06:02:14,78
5,2017-01-07 17:13:04,22
8,2017-01-07 04:20:49,63
4,2017-01-04 07:53:06,46
6,2017-01-05 15:31:51,25
10,2017-01-06 06:36:22,32
5,2017-01-02 10:23:08,20
7,2017-01-03 19:23:36,58
3,2017-01-01 19:17:13,13
4,2017-01-07 20:01:05,24
5,2017-01-01 01:44:59,29
4,2017-01-03 03:42:49,34
3,2017-01-04 03:16:12,15
8,2017-01-07 11:33:14,53
3,2017-01-06 06:31:14,92
10,2017-01-02 17:27:37,99
5,2017-01-03 06:06:15,15
7,2017-01-07 02:45:06,36
9,2017-01-07 00:45:29,24
10,2017-01-06 18:41:36,13
1,2017-01-01 17:05:11,65
10,2017-01-04 13:59:47,70
8,2017-01-05 20:29:03,47
5,2017-01-05 11:19:58,8
3,2017-01-01 22:30:21,97
1,2017-01-05 15:00:44,18
3,2017-01-06 04:36:55,88
6,2017-01-06 21:31:45,23
8,2017-01-02 04:40:40,25
3,2017-01-03 02:42:02,83
3,2017-01-06 13:04:18,14
2,2017-01-02 14:25:43,33
8,2017-01-06 18:09:38,28
6,2017-01-06 07:51:29,33
3,2017-01-06 08:50:41,75
1,2017-01-05 19:41:21,3
4,2017-01-07 09:36:43,49
4,2017-01-06 04:48:16,34
3,2017-01-02 00:45:07,68
2,2017-01-06 04:53:47,81
7,2017-01-04 02:57:50,76
4,2017-01-02 18:15:16,51
5,2017-01-05 06:34:41,45
5,2017-01-03 05:10:52,17
3,2017-01-05 05:24:20,54
6,2017-01-03 12:02:40,2
2,2017-01-06 05:36:43,80
1,2017-01-07 04:27:29,54
1,2017-01-03 17:54:59,43
3,2017-01-07 17:04:42,9
3,2017-01-05 15:56:00,37
7,2017-01-07 03:27:04,25
5,2017-01-07 06:23:35,78
4,2017-01-01 07:52:36,34
2,2017-01-05 07:29:20,52
9,2017-01-02 20:36:02,22
4,2017-01-06 06:59:02,69
2,2017-01-07 01:51:21,7
2,2017-01-02 03:27:53,89
7,2017-01-04 17:07:48,3
6,2017-01-07 14:42:12,15
10,2017-01-02 16:37:58,62
7,2017-01-01 04:28:39,28
10,2017-01-05 05:05:32,78
2,2017-01-03 20:43:58,5
8,2017-01-05 06:55:19,17
8,2017-01-06 06:10:39,38
3,2017-01-07 08:03:08,30
1,2017-01-07 04:03:22,19
8,2017-01-05 23:26:24,15
6,2017-01-02 23:09:13,1
6,2017-01-06 03:48:50,89
7,2017-01-03 13:55:06,93
